ID,SUPPLIER_BUSINESS_ID,CUSTOMER_BUSINESS_ID,SKU_ID,QUANTITY,ORIGIN_SITE_ID,DESTINATION_SITE_ID,OPERATION_ID,ORDER_DATE,SHIP_DATE,EXPECTED_DELIVERY_DATE,ACTUAL_DELIVERY_DATE,STATUS,DELAY_DAYS,SHIP_MONTH,SHIP_QUARTER,FISCAL_QUARTER,FISCAL_YEAR,IS_LATE
TSHP00794,B007,B010,SKU005,291,S007,S010,OP034,2022-02-07,2022-02-10,2022-02-12,2022-02-12,DELIVERED,0,2,1,Q1-2022,2022,0
TSHP01543,B016,B002,SKU007,50,S016,S002,OP003,2022-12-13,2022-12-16,2022-12-17,2022-12-17,DELIVERED,0,12,4,Q4-2022,2022,0
TSHP06693,B026,B028,SKU004,140,S026,S028,OP024,2024-05-13,2024-05-16,2024-05-18,2024-05-18,DELIVERED,0,5,2,Q2-2024,2024,0
TSHP00442,B003,B006,SKU003,69,S003,S006,OP074,2022-02-20,2022-02-23,2022-03-01,2022-03-01,DELIVERED,0,2,1,Q1-2022,2022,0
TSHP04165,B021,B031,SKU005,99,S021,S031,OP037,2023-05-09,2023-05-11,2023-05-14,2023-05-13,DELIVERED,0,5,2,Q2-2023,2023,0
TSHP02459,B007,B010,SKU005,153,S007,S010,OP034,2022-08-03,2022-08-06,2022-08-08,2022-08-10,DELAYED,2,8,3,Q3-2022,2022,1
TSHP01584,B021,B030,SKU004,89,S021,S030,OP036,2022-07-09,2022-07-10,2022-07-12,2022-07-12,DELIVERED,0,7,3,Q3-2022,2022,0
TSHP03741,B006,B011,SKU004,228,S006,S011,OP031,2023-04-27,2023-04-30,2023-05-03,2023-05-03,DELIVERED,0,4,2,Q2-2023,2023,0
TSHP06431,B026,B029,SKU004,53,S026,S029,OP025,2024-03-10,2024-03-11,2024-03-14,2024-03-16,DELAYED,2,3,1,Q1-2024,2024,1
TSHP06356,B022,B030,SKU005,276,S022,S030,OP038,2024-11-25,2024-11-27,2024-11-29,2024-11-28,DELIVERED,0,11,4,Q4-2024,2024,0
TSHP00218,B023,B031,SKU004,182,S023,S031,OP041,2022-03-13,2022-03-14,2022-03-17,2022-03-24,DELAYED,7,3,1,Q1-2022,2022,1
TSHP05117,B027,B028,SKU004,277,S027,S028,OP026,2024-10-31,2024-11-02,2024-11-04,2024-11-03,DELIVERED,0,11,4,Q4-2024,2024,0
TSHP05692,B006,B010,SKU005,59,S006,S010,OP030,2024-08-17,2024-08-18,2024-08-20,2024-08-22,DELAYED,2,8,3,Q3-2024,2024,1
TSHP01931,B014,B004,SKU003,108,S014,S004,OP014,2022-10-24,2022-10-27,2022-11-01,2022-11-10,DELAYED,9,10,4,Q4-2022,2022,1
TSHP02819,B006,B010,SKU005,184,S006,S010,OP030,2023-10-22,2023-10-23,2023-10-25,2023-10-24,DELIVERED,0,10,4,Q4-2023,2023,0
TSHP04501,B026,B028,SKU005,277,S026,S028,OP024,2023-03-19,2023-03-22,2023-03-24,2023-03-25,DELAYED,1,3,1,Q1-2023,2023,1
TSHP00457,B007,B009,SKU004,71,S007,S009,OP033,2022-02-13,2022-02-16,2022-02-19,2022-02-19,DELIVERED,0,2,1,Q1-2022,2022,0
TSHP00915,B005,B007,SKU004,178,S005,S007,OP020,2022-04-10,2022-04-12,2022-04-15,2022-04-15,DELIVERED,0,4,2,Q2-2022,2022,0
TSHP06741,B007,B011,SKU004,202,S007,S011,OP035,2024-11-12,2024-11-15,2024-11-16,2024-11-15,DELIVERED,0,11,4,Q4-2024,2024,0
TSHP05961,B001,B004,SKU001,86,S001,S004,OP009,2024-09-07,2024-09-10,2024-09-13,2024-09-13,DELIVERED,0,9,3,Q3-2024,2024,0
TSHP01447,B025,B023,SKU004,114,S025,S023,OP023,2022-11-01,2022-11-02,2022-11-05,2022-11-05,DELIVERED,0,11,4,Q4-2022,2022,0
TSHP03499,B027,B029,SKU004,107,S027,S029,OP027,2023-11-03,2023-11-04,2023-11-05,2023-11-04,DELIVERED,0,11,4,Q4-2023,2023,0
TSHP05899,B005,B025,SKU004,87,S005,S025,OP071,2024-07-12,2024-07-13,2024-07-23,2024-07-22,DELIVERED,0,7,3,Q3-2024,2024,0
TSHP03277,B023,B030,SKU004,202,S023,S030,OP040,2023-08-23,2023-08-24,2023-08-27,2023-08-26,DELIVERED,0,8,3,Q3-2023,2023,0
TSHP06981,B006,B010,SKU004,167,S006,S010,OP030,2024-10-17,2024-10-18,2024-10-20,2024-10-24,DELAYED,4,10,4,Q4-2024,2024,1
TSHP06590,B016,B013,SKU007,234,S016,S013,OP004,2024-01-17,2024-01-18,2024-01-20,2024-01-24,DELAYED,4,1,1,Q1-2024,2024,1
TSHP04222,B019,B020,SKU007,136,S019,S020,OP008,2023-03-07,2023-03-09,2023-03-10,2023-03-09,DELIVERED,0,3,1,Q1-2023,2023,0
TSHP03168,B020,B025,SKU001,198,S020,S025,OP016,2023-06-28,2023-06-30,2023-07-03,2023-07-02,DELIVERED,0,6,2,Q2-2023,2023,0
TSHP00950,B006,B009,SKU005,193,S006,S009,OP029,2022-02-15,2022-02-18,2022-02-20,2022-02-19,DELIVERED,0,2,1,Q1-2022,2022,0
TSHP04679,B023,B031,SKU004,157,S023,S031,OP041,2023-06-14,2023-06-17,2023-06-20,2023-06-19,DELIVERED,0,6,2,Q2-2023,2023,0
TSHP03592,B004,B026,SKU004,202,S004,S026,OP017,2023-07-15,2023-07-16,2023-07-18,2023-07-18,DELIVERED,0,7,3,Q3-2023,2023,0
TSHP02723,B021,B030,SKU005,278,S021,S030,OP036,2023-06-16,2023-06-17,2023-06-19,2023-06-19,DELIVERED,0,6,2,Q2-2023,2023,0
TSHP03045,B004,B026,SKU004,74,S004,S026,OP017,2023-04-29,2023-04-30,2023-05-02,2023-05-02,DELIVERED,0,4,2,Q2-2023,2023,0
TSHP00440,B027,B029,SKU005,192,S027,S029,OP027,2022-10-29,2022-11-01,2022-11-02,2022-11-01,DELIVERED,0,11,4,Q4-2022,2022,0
TSHP04863,B022,B031,SKU005,123,S022,S031,OP039,2023-06-02,2023-06-04,2023-06-06,2023-06-05,DELIVERED,0,6,2,Q2-2023,2023,0
TSHP03060,B006,B011,SKU004,212,S006,S011,OP031,2023-07-24,2023-07-25,2023-07-28,2023-07-28,DELIVERED,0,7,3,Q3-2023,2023,0
TSHP02953,B026,B029,SKU005,58,S026,S029,OP025,2023-05-23,2023-05-26,2023-05-29,2023-06-02,DELAYED,4,5,2,Q2-2023,2023,1
TSHP04361,B022,B030,SKU005,198,S022,S030,OP038,2023-09-06,2023-09-08,2023-09-10,2023-09-10,DELIVERED,0,9,3,Q3-2023,2023,0
TSHP03363,B022,B031,SKU005,121,S022,S031,OP039,2023-03-13,2023-03-15,2023-03-17,2023-03-17,DELIVERED,0,3,1,Q1-2023,2023,0
TSHP01588,B022,B012,SKU009,113,S022,S012,OP075,2022-10-20,2022-10-21,2022-10-30,2022-11-04,DELAYED,5,10,4,Q4-2022,2022,1
TSHP05090,B003,B004,SKU003,54,S003,S004,OP011,2024-09-12,2024-09-13,2024-09-15,2024-09-14,DELIVERED,0,9,3,Q3-2024,2024,0
TSHP00489,B014,B004,SKU003,50,S014,S004,OP014,2022-03-27,2022-03-28,2022-04-02,2022-04-03,DELAYED,1,3,1,Q1-2022,2022,1
TSHP04298,B022,B030,SKU005,144,S022,S030,OP038,2023-06-21,2023-06-24,2023-06-26,2023-06-26,DELIVERED,0,6,2,Q2-2023,2023,0
TSHP04262,B026,B028,SKU004,229,S026,S028,OP024,2023-07-31,2023-08-03,2023-08-05,2023-08-04,DELIVERED,0,8,3,Q3-2023,2023,0
TSHP04830,B006,B009,SKU004,294,S006,S009,OP029,2023-06-14,2023-06-15,2023-06-17,2023-06-20,DELAYED,3,6,2,Q2-2023,2023,1
TSHP06508,B021,B031,SKU005,128,S021,S031,OP037,2024-05-09,2024-05-11,2024-05-14,2024-05-13,DELIVERED,0,5,2,Q2-2024,2024,0
TSHP00733,B019,B020,SKU007,265,S019,S020,OP008,2022-02-11,2022-02-13,2022-02-14,2022-02-14,DELIVERED,0,2,1,Q1-2022,2022,0
TSHP01054,B004,B027,SKU004,219,S004,S027,OP018,2022-08-25,2022-08-27,2022-08-30,2022-08-29,DELIVERED,0,8,3,Q3-2022,2022,0
TSHP01908,B007,B011,SKU005,178,S007,S011,OP035,2022-12-01,2022-12-02,2022-12-03,2022-12-02,DELIVERED,0,12,4,Q4-2022,2022,0
TSHP02306,B006,B010,SKU005,52,S006,S010,OP030,2022-11-08,2022-11-11,2022-11-13,2022-11-12,DELIVERED,0,11,4,Q4-2022,2022,0
TSHP03256,B026,B029,SKU004,268,S026,S029,OP025,2023-08-08,2023-08-09,2023-08-12,2023-08-12,DELIVERED,0,8,3,Q3-2023,2023,0
TSHP02396,B007,B010,SKU005,59,S007,S010,OP034,2022-01-15,2022-01-17,2022-01-19,2022-01-18,DELIVERED,0,1,1,Q1-2022,2022,0
TSHP02309,B007,B011,SKU004,256,S007,S011,OP035,2022-01-26,2022-01-28,2022-01-29,2022-01-28,DELIVERED,0,1,1,Q1-2022,2022,0
TSHP02319,B002,B004,SKU002,172,S002,S004,OP010,2022-12-16,2022-12-17,2022-12-19,2022-12-18,DELIVERED,0,12,4,Q4-2022,2022,0
TSHP00535,B007,B009,SKU005,136,S007,S009,OP033,2022-07-27,2022-07-28,2022-07-31,2022-07-31,DELIVERED,0,7,3,Q3-2022,2022,0
TSHP03172,B006,B009,SKU005,113,S006,S009,OP029,2023-10-12,2023-10-14,2023-10-16,2023-10-18,DELAYED,2,10,4,Q4-2023,2023,1
TSHP04594,B021,B031,SKU005,284,S021,S031,OP037,2023-09-04,2023-09-07,2023-09-10,2023-09-09,DELIVERED,0,9,3,Q3-2023,2023,0
TSHP06686,B024,B022,SKU004,124,S024,S022,OP022,2024-08-16,2024-08-18,2024-08-20,2024-08-19,DELIVERED,0,8,3,Q3-2024,2024,0
TSHP00550,B022,B030,SKU004,290,S022,S030,OP038,2022-01-10,2022-01-11,2022-01-13,2022-01-13,DELIVERED,0,1,1,Q1-2022,2022,0
TSHP00663,B019,B020,SKU007,88,S019,S020,OP008,2022-07-30,2022-08-01,2022-08-02,2022-08-02,DELIVERED,0,8,3,Q3-2022,2022,0
TSHP01882,B022,B012,SKU009,95,S022,S012,OP075,2022-12-04,2022-12-06,2022-12-15,2022-12-14,DELIVERED,0,12,4,Q4-2022,2022,0
TSHP07081,B021,B031,SKU004,82,S021,S031,OP037,2024-06-23,2024-06-24,2024-06-27,2024-07-04,DELAYED,7,6,2,Q2-2024,2024,1
TSHP02552,B006,B008,SKU005,289,S006,S008,OP028,2023-08-22,2023-08-23,2023-08-24,2023-08-24,DELIVERED,0,8,3,Q3-2023,2023,0
TSHP05334,B025,B023,SKU004,209,S025,S023,OP023,2024-04-12,2024-04-14,2024-04-17,2024-04-16,DELIVERED,0,4,2,Q2-2024,2024,0
TSHP01640,B021,B030,SKU004,67,S021,S030,OP036,2022-06-25,2022-06-26,2022-06-28,2022-06-28,DELIVERED,0,6,2,Q2-2022,2022,0
TSHP04771,B025,B023,SKU004,153,S025,S023,OP023,2023-01-31,2023-02-02,2023-02-05,2023-02-09,DELAYED,4,2,1,Q1-2023,2023,1
TSHP00352,B021,B030,SKU005,64,S021,S030,OP036,2022-05-15,2022-05-16,2022-05-18,2022-05-18,DELIVERED,0,5,2,Q2-2022,2022,0
TSHP04217,B004,B027,SKU004,211,S004,S027,OP018,2023-05-15,2023-05-16,2023-05-19,2023-05-18,DELIVERED,0,5,2,Q2-2023,2023,0
TSHP07046,B022,B031,SKU004,158,S022,S031,OP039,2024-08-03,2024-08-05,2024-08-07,2024-08-07,DELIVERED,0,8,3,Q3-2024,2024,0
TSHP04533,B003,B006,SKU003,251,S003,S006,OP074,2023-10-05,2023-10-08,2023-10-14,2023-10-20,DELAYED,6,10,4,Q4-2023,2023,1
TSHP03089,B004,B006,SKU004,180,S004,S006,OP070,2023-05-08,2023-05-11,2023-05-18,2023-05-27,DELAYED,9,5,2,Q2-2023,2023,1
TSHP01443,B006,B010,SKU004,163,S006,S010,OP030,2022-06-18,2022-06-20,2022-06-22,2022-06-26,DELAYED,4,6,2,Q2-2022,2022,1
TSHP03748,B021,B031,SKU005,180,S021,S031,OP037,2023-08-28,2023-08-31,2023-09-03,2023-09-02,DELIVERED,0,8,3,Q3-2023,2023,0
TSHP00887,B006,B009,SKU004,112,S006,S009,OP029,2022-05-16,2022-05-17,2022-05-19,2022-05-18,DELIVERED,0,5,2,Q2-2022,2022,0
TSHP03738,B006,B008,SKU004,299,S006,S008,OP028,2023-01-15,2023-01-16,2023-01-17,2023-01-17,DELIVERED,0,1,1,Q1-2023,2023,0
TSHP03658,B003,B004,SKU003,185,S003,S004,OP011,2023-06-19,2023-06-22,2023-06-24,2023-06-23,DELIVERED,0,6,2,Q2-2023,2023,0
TSHP00927,B004,B027,SKU004,174,S004,S027,OP018,2022-01-31,2022-02-02,2022-02-05,2022-02-04,DELIVERED,0,2,1,Q1-2022,2022,0
TSHP05502,B027,B028,SKU004,81,S027,S028,OP026,2024-11-18,2024-11-20,2024-11-22,2024-11-21,DELIVERED,0,11,4,Q4-2024,2024,0
TSHP04799,B007,B009,SKU004,276,S007,S009,OP033,2023-02-27,2023-03-02,2023-03-05,2023-03-06,DELAYED,1,3,1,Q1-2023,2023,1
TSHP01972,B001,B004,SKU001,261,S001,S004,OP009,2022-02-17,2022-02-19,2022-02-22,2022-02-21,DELIVERED,0,2,1,Q1-2022,2022,0
TSHP04703,B026,B028,SKU005,243,S026,S028,OP024,2023-07-10,2023-07-13,2023-07-15,2023-07-14,DELIVERED,0,7,3,Q3-2023,2023,0
TSHP03671,B005,B006,SKU004,160,S005,S006,OP019,2023-07-28,2023-07-31,2023-08-02,2023-08-05,DELAYED,3,7,3,Q3-2023,2023,1
TSHP04558,B007,B008,SKU004,232,S007,S008,OP032,2023-10-26,2023-10-28,2023-11-01,2023-11-05,DELAYED,4,10,4,Q4-2023,2023,1
TSHP03831,B007,B009,SKU004,276,S007,S009,OP033,2023-11-20,2023-11-23,2023-11-26,2023-11-30,DELAYED,4,11,4,Q4-2023,2023,1
TSHP03078,B004,B020,SKU001,256,S004,S020,OP073,2023-10-03,2023-10-06,2023-10-14,2023-10-17,DELAYED,3,10,4,Q4-2023,2023,1
TSHP02299,B026,B028,SKU005,134,S026,S028,OP024,2022-06-25,2022-06-27,2022-06-29,2022-06-29,DELIVERED,0,6,2,Q2-2022,2022,0
TSHP05016,B007,B011,SKU004,153,S007,S011,OP035,2024-08-13,2024-08-15,2024-08-16,2024-08-15,DELIVERED,0,8,3,Q3-2024,2024,0
TSHP03639,B017,B014,SKU008,173,S017,S014,OP006,2023-04-10,2023-04-13,2023-04-17,2023-04-16,DELIVERED,0,4,2,Q2-2023,2023,0
TSHP02833,B024,B021,SKU004,143,S024,S021,OP021,2023-01-30,2023-02-02,2023-02-04,2023-02-03,DELIVERED,0,2,1,Q1-2023,2023,0
TSHP02012,B027,B029,SKU004,58,S027,S029,OP027,2022-02-08,2022-02-11,2022-02-12,2022-02-11,DELIVERED,0,2,1,Q1-2022,2022,0
TSHP07468,B005,B007,SKU004,225,S005,S007,OP020,2024-08-19,2024-08-21,2024-08-24,2024-08-24,DELIVERED,0,8,3,Q3-2024,2024,0
TSHP04576,B003,B004,SKU003,241,S003,S004,OP011,2023-05-31,2023-06-03,2023-06-05,2023-06-05,DELIVERED,0,6,2,Q2-2023,2023,0
TSHP01802,B026,B029,SKU005,282,S026,S029,OP025,2022-04-04,2022-04-06,2022-04-09,2022-04-09,DELIVERED,0,4,2,Q2-2022,2022,0
TSHP06767,B001,B004,SKU001,142,S001,S004,OP009,2024-11-07,2024-11-10,2024-11-13,2024-11-13,DELIVERED,0,11,4,Q4-2024,2024,0
TSHP01763,B006,B009,SKU004,96,S006,S009,OP029,2022-08-25,2022-08-27,2022-08-29,2022-08-28,DELIVERED,0,8,3,Q3-2022,2022,0
TSHP02016,B020,B024,SKU001,249,S020,S024,OP015,2022-11-21,2022-11-24,2022-11-26,2022-11-25,DELIVERED,0,11,4,Q4-2022,2022,0
TSHP00168,B016,B013,SKU007,89,S016,S013,OP004,2022-09-20,2022-09-21,2022-09-23,2022-09-22,DELIVERED,0,9,3,Q3-2022,2022,0
TSHP06944,B007,B010,SKU005,264,S007,S010,OP034,2024-11-10,2024-11-13,2024-11-15,2024-11-25,DELAYED,10,11,4,Q4-2024,2024,1
TSHP07283,B006,B010,SKU005,58,S006,S010,OP030,2024-09-21,2024-09-23,2024-09-25,2024-09-25,DELIVERED,0,9,3,Q3-2024,2024,0
TSHP06659,B012,B004,SKU001,81,S012,S004,OP012,2024-10-15,2024-10-18,2024-10-22,2024-10-21,DELIVERED,0,10,4,Q4-2024,2024,0
TSHP05596,B021,B030,SKU005,235,S021,S030,OP036,2024-09-25,2024-09-28,2024-09-30,2024-09-29,DELIVERED,0,9,3,Q3-2024,2024,0
TSHP00993,B016,B002,SKU007,106,S016,S002,OP003,2022-09-20,2022-09-22,2022-09-23,2022-09-22,DELIVERED,0,9,3,Q3-2022,2022,0
TSHP06719,B006,B011,SKU004,152,S006,S011,OP031,2024-10-23,2024-10-26,2024-10-29,2024-11-01,DELAYED,3,10,4,Q4-2024,2024,1
TSHP02249,B026,B028,SKU005,127,S026,S028,OP024,2022-03-28,2022-03-30,2022-04-01,2022-04-01,DELIVERED,0,3,1,Q1-2022,2022,0
TSHP05484,B015,B012,SKU006,225,S015,S012,OP002,2024-04-11,2024-04-12,2024-04-15,2024-04-15,DELIVERED,0,4,2,Q2-2024,2024,0
TSHP00476,B012,B004,SKU001,265,S012,S004,OP012,2022-08-13,2022-08-16,2022-08-20,2022-08-19,DELIVERED,0,8,3,Q3-2022,2022,0
TSHP00547,B023,B031,SKU004,110,S023,S031,OP041,2022-06-28,2022-06-30,2022-07-03,2022-07-02,DELIVERED,0,6,2,Q2-2022,2022,0
TSHP06386,B022,B031,SKU004,146,S022,S031,OP039,2024-06-15,2024-06-18,2024-06-20,2024-06-20,DELIVERED,0,6,2,Q2-2024,2024,0
TSHP03356,B014,B004,SKU003,216,S014,S004,OP014,2023-04-18,2023-04-20,2023-04-25,2023-04-27,DELAYED,2,4,2,Q2-2023,2023,1
TSHP02199,B023,B031,SKU005,167,S023,S031,OP041,2022-07-01,2022-07-03,2022-07-06,2022-07-06,DELIVERED,0,7,3,Q3-2022,2022,0
TSHP01832,B004,B027,SKU004,118,S004,S027,OP018,2022-08-26,2022-08-29,2022-09-01,2022-09-08,DELAYED,7,8,3,Q3-2022,2022,1
TSHP00848,B004,B020,SKU001,103,S004,S020,OP073,2022-08-19,2022-08-20,2022-08-28,2022-08-28,DELIVERED,0,8,3,Q3-2022,2022,0
TSHP02075,B007,B009,SKU004,289,S007,S009,OP033,2022-08-11,2022-08-14,2022-08-17,2022-08-17,DELIVERED,0,8,3,Q3-2022,2022,0
TSHP04306,B021,B031,SKU004,116,S021,S031,OP037,2023-04-28,2023-05-01,2023-05-04,2023-05-03,DELIVERED,0,5,2,Q2-2023,2023,0
TSHP01875,B006,B008,SKU005,159,S006,S008,OP028,2022-06-07,2022-06-10,2022-06-11,2022-06-11,DELIVERED,0,6,2,Q2-2022,2022,0
TSHP07074,B026,B028,SKU005,237,S026,S028,OP024,2024-10-18,2024-10-21,2024-10-23,2024-10-22,DELIVERED,0,10,4,Q4-2024,2024,0
TSHP02288,B020,B025,SKU001,103,S020,S025,OP016,2022-12-07,2022-12-08,2022-12-11,2022-12-10,DELIVERED,0,12,4,Q4-2022,2022,0
TSHP00035,B006,B010,SKU005,213,S006,S010,OP030,2022-08-22,2022-08-23,2022-08-25,2022-08-25,DELIVERED,0,8,3,Q3-2022,2022,0
TSHP04560,B005,B007,SKU004,52,S005,S007,OP020,2023-10-17,2023-10-18,2023-10-21,2023-10-23,DELAYED,2,10,4,Q4-2023,2023,1
TSHP03456,B016,B013,SKU007,189,S016,S013,OP004,2023-12-12,2023-12-15,2023-12-17,2023-12-17,DELIVERED,0,12,4,Q4-2023,2023,0
TSHP02606,B026,B028,SKU004,55,S026,S028,OP024,2023-03-29,2023-03-31,2023-04-02,2023-04-02,DELIVERED,0,3,1,Q1-2023,2023,0
TSHP03864,B026,B029,SKU005,142,S026,S029,OP025,2023-05-25,2023-05-28,2023-05-31,2023-05-31,DELIVERED,0,5,2,Q2-2023,2023,0
TSHP03333,B023,B030,SKU005,254,S023,S030,OP040,2023-10-09,2023-10-11,2023-10-14,2023-10-17,DELAYED,3,10,4,Q4-2023,2023,1
TSHP07406,B020,B025,SKU001,282,S020,S025,OP016,2024-07-18,2024-07-19,2024-07-22,2024-07-21,DELIVERED,0,7,3,Q3-2024,2024,0
TSHP05923,B013,B004,SKU002,219,S013,S004,OP013,2024-10-20,2024-10-23,2024-10-26,2024-10-26,DELIVERED,0,10,4,Q4-2024,2024,0
TSHP01372,B007,B009,SKU005,188,S007,S009,OP033,2022-01-05,2022-01-07,2022-01-10,2022-01-10,DELIVERED,0,1,1,Q1-2022,2022,0
TSHP03501,B006,B011,SKU004,57,S006,S011,OP031,2023-02-28,2023-03-03,2023-03-06,2023-03-05,DELIVERED,0,3,1,Q1-2023,2023,0
TSHP01575,B023,B030,SKU004,243,S023,S030,OP040,2022-10-14,2022-10-15,2022-10-18,2022-10-18,DELIVERED,0,10,4,Q4-2022,2022,0
TSHP06879,B007,B008,SKU004,59,S007,S008,OP032,2024-07-05,2024-07-07,2024-07-11,2024-07-11,DELIVERED,0,7,3,Q3-2024,2024,0
TSHP04479,B006,B009,SKU005,271,S006,S009,OP029,2023-08-02,2023-08-03,2023-08-05,2023-08-05,DELIVERED,0,8,3,Q3-2023,2023,0
TSHP00282,B023,B031,SKU004,199,S023,S031,OP041,2022-06-30,2022-07-02,2022-07-05,2022-07-04,DELIVERED,0,7,3,Q2-2022,2022,0
TSHP01342,B003,B004,SKU003,167,S003,S004,OP011,2022-07-23,2022-07-26,2022-07-28,2022-07-28,DELIVERED,0,7,3,Q3-2022,2022,0
TSHP04181,B021,B030,SKU004,100,S021,S030,OP036,2023-04-18,2023-04-20,2023-04-22,2023-04-21,DELIVERED,0,4,2,Q2-2023,2023,0
TSHP04608,B027,B029,SKU005,224,S027,S029,OP027,2023-05-25,2023-05-28,2023-05-29,2023-06-03,DELAYED,5,5,2,Q2-2023,2023,1
TSHP06703,B023,B031,SKU004,289,S023,S031,OP041,2024-12-07,2024-12-08,2024-12-11,2024-12-13,DELAYED,2,12,4,Q4-2024,2024,1
TSHP01656,B004,B027,SKU004,255,S004,S027,OP018,2022-01-12,2022-01-13,2022-01-16,2022-01-15,DELIVERED,0,1,1,Q1-2022,2022,0
TSHP05371,B003,B004,SKU003,236,S003,S004,OP011,2024-05-05,2024-05-06,2024-05-08,2024-05-07,DELIVERED,0,5,2,Q2-2024,2024,0
TSHP07062,B024,B021,SKU004,100,S024,S021,OP021,2024-08-03,2024-08-05,2024-08-07,2024-08-07,DELIVERED,0,8,3,Q3-2024,2024,0
TSHP03118,B021,B031,SKU004,56,S021,S031,OP037,2023-04-19,2023-04-21,2023-04-24,2023-05-03,DELAYED,9,4,2,Q2-2023,2023,1
TSHP02364,B004,B020,SKU001,212,S004,S020,OP073,2022-05-04,2022-05-05,2022-05-13,2022-05-13,DELIVERED,0,5,2,Q2-2022,2022,0
TSHP05693,B018,B020,SKU006,239,S018,S020,OP007,2024-10-12,2024-10-14,2024-10-16,2024-10-15,DELIVERED,0,10,4,Q4-2024,2024,0
TSHP00962,B015,B001,SKU006,268,S015,S001,OP001,2022-06-16,2022-06-17,2022-06-19,2022-06-18,DELIVERED,0,6,2,Q2-2022,2022,0
TSHP00722,B007,B011,SKU005,127,S007,S011,OP035,2022-08-28,2022-08-30,2022-08-31,2022-09-01,DELAYED,1,8,3,Q3-2022,2022,1
TSHP07130,B007,B009,SKU005,209,S007,S009,OP033,2024-07-22,2024-07-25,2024-07-28,2024-07-27,DELIVERED,0,7,3,Q3-2024,2024,0
TSHP04554,B016,B002,SKU007,211,S016,S002,OP003,2023-02-07,2023-02-10,2023-02-11,2023-02-11,DELIVERED,0,2,1,Q1-2023,2023,0
TSHP07108,B021,B030,SKU005,214,S021,S030,OP036,2024-05-27,2024-05-28,2024-05-30,2024-06-05,DELAYED,6,5,2,Q2-2024,2024,1
TSHP03481,B022,B030,SKU004,179,S022,S030,OP038,2023-08-17,2023-08-18,2023-08-20,2023-08-19,DELIVERED,0,8,3,Q3-2023,2023,0
TSHP01864,B004,B006,SKU004,183,S004,S006,OP070,2022-07-17,2022-07-18,2022-07-25,2022-08-01,DELAYED,7,7,3,Q3-2022,2022,1
TSHP03139,B026,B029,SKU004,290,S026,S029,OP025,2023-06-28,2023-07-01,2023-07-04,2023-07-03,DELIVERED,0,7,3,Q2-2023,2023,0
TSHP04729,B006,B010,SKU004,89,S006,S010,OP030,2023-05-10,2023-05-12,2023-05-14,2023-05-17,DELAYED,3,5,2,Q2-2023,2023,1
TSHP03187,B022,B031,SKU004,100,S022,S031,OP039,2023-12-09,2023-12-11,2023-12-13,2023-12-13,DELIVERED,0,12,4,Q4-2023,2023,0
TSHP06927,B007,B010,SKU004,293,S007,S010,OP034,2024-07-26,2024-07-28,2024-07-30,2024-07-29,DELIVERED,0,7,3,Q3-2024,2024,0
TSHP07088,B022,B030,SKU004,266,S022,S030,OP038,2024-10-17,2024-10-20,2024-10-22,2024-10-22,DELIVERED,0,10,4,Q4-2024,2024,0
TSHP06115,B026,B028,SKU005,260,S026,S028,OP024,2024-02-08,2024-02-10,2024-02-12,2024-02-12,DELIVERED,0,2,1,Q1-2024,2024,0
