machine_id,machine_name,machine_type,facility,location,remaining_useful_life,failure_probability,criticality,maintenance_duration_hours,last_maintenance_date,parts_required,estimated_parts_cost
M041,Dryer_Sigma_1,Dryer,Plant_I,Portland_OR,5.5,0.182,Medium,6,2024-09-15,Heating_Coils|Fans,6800
M042,Dryer_Sigma_2,Dryer,Plant_I,Portland_OR,8.0,0.125,Medium,6,2024-08-10,Heating_Coils|Fans,6800
M043,Filter_Tau_1,Filter_System,Plant_I,Portland_OR,4.2,0.238,High,4,2024-10-08,Filters|Pumps,5500
M044,Filter_Tau_2,Filter_System,Plant_I,Portland_OR,6.8,0.147,Medium,4,2024-09-01,Filters|Pumps,5500
M045,Crane_Upsilon_1,Overhead_Crane,Plant_J,Dallas_TX,7.5,0.133,High,8,2024-08-20,Cables|Motors,10500
M046,Crane_Upsilon_2,Overhead_Crane,Plant_J,Dallas_TX,5.0,0.200,High,8,2024-09-28,Cables|Motors,10500
M047,Welder_Phi_1,Welding_System,Plant_J,Dallas_TX,3.8,0.263,Medium,4,2024-10-15,Electrodes|Controllers,4800
M048,Welder_Phi_2,Welding_System,Plant_J,Dallas_TX,6.0,0.167,Medium,4,2024-09-12,Electrodes|Controllers,4800
M049,Grinder_Chi_1,Grinder,Plant_J,Dallas_TX,4.5,0.222,Low,3,2024-10-05,Wheels|Bearings,3200
M050,Grinder_Chi_2,Grinder,Plant_J,Dallas_TX,7.2,0.139,Low,3,2024-08-28,Wheels|Bearings,3200
